Education,Marital_Status,Income,Dt_Customer,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Total_Children,Total_Spending,Total_Purchases,Tenure_Days,TotalAcceptedCmp,WebPurchaseRatio,StorePurchaseRatio
4,3,72550.0,2012-11-08,39,6,5,2,12,8,71,2,1319.0,19,4628,0,0.2631578947368421,0.631578947368421
2,6,65486.0,2014-05-12,29,1,4,2,10,2,68,1,507.0,16,4078,0,0.25,0.625
3,3,79143.0,2012-08-11,2,1,6,9,13,3,61,0,1383.0,28,4717,0,0.21428571428571427,0.4642857142857143
2,4,35790.0,2013-01-02,54,2,2,0,3,7,48,1,72.0,5,4573,0,0.4,0.6
2,2,82582.0,2014-06-07,54,1,4,9,7,1,48,0,1428.0,20,4052,0,0.2,0.35
2,3,66373.0,2013-06-12,57,6,4,2,10,3,47,2,606.0,16,4412,0,0.25,0.625
3,5,82384.0,2012-11-19,55,1,3,10,13,1,70,0,1795.0,26,4617,0,0.11538461538461539,0.5
2,2,70287.0,2013-04-02,30,1,5,5,10,3,59,0,1053.5,20,4483,0,0.25,0.5
2,4,27938.0,2014-04-28,31,1,1,0,4,3,37,1,29.0,5,4092,0,0.2,0.8
2,4,51381.5,2013-06-17,57,2,2,0,3,6,43,1,46.0,5,4407,0,0.4,0.6
4,3,55954.0,2014-03-03,63,3,8,2,6,7,57,1,518.0,16,4148,0,0.5,0.375
3,4,75777.0,2013-07-04,12,1,3,6,11,1,43,0,1438.0,20,4390,0,0.15,0.55
2,5,66653.0,2012-09-07,18,4,4,2,12,3,50,2,612.0,18,4690,0,0.2222222222222222,0.6666666666666666
2,4,61823.0,2013-02-18,26,4,8,2,10,7,73,1,841.5,20,4526,0,0.4,0.5
4,6,67680.0,2013-06-11,8,1,7,3,8,5,74,1,606.0,18,4413,0,0.3888888888888889,0.4444444444444444
2,5,70666.0,2013-12-06,29,1,7,4,4,4,77,0,1035.0,15,4235,0,0.4666666666666667,0.26666666666666666
2,3,25721.0,2013-05-21,75,1,1,1,2,7,54,1,34.0,4,4434,0,0.25,0.5
2,5,32474.0,2014-05-11,0,1,1,0,2,7,58,2,11.0,3,4079,0,0.3333333333333333,0.6666666666666666
0,4,88194.0,2014-03-19,19,1,11,10,10,5,46,1,1193.5,31,4132,0,0.3548387096774194,0.3225806451612903
2,5,69096.0,2013-09-27,4,1,5,2,10,4,67,1,652.0,17,4305,0,0.29411764705882354,0.5882352941176471
2,5,74854.0,2013-04-08,90,6,2,5,5,5,55,3,1562.0,12,4477,0,0.16666666666666666,0.4166666666666667
3,3,66991.0,2012-09-11,1,3,4,8,6,3,71,0,1184.5,18,4686,0,0.2222222222222222,0.3333333333333333
0,3,51381.5,2012-09-14,25,3,3,0,3,8,52,1,109.0,6,4683,0,0.5,0.5
2,3,65031.0,2013-03-17,29,4,10,3,13,7,66,1,837.0,26,4499,0,0.38461538461538464,0.5
4,3,60631.0,2013-04-05,88,5,9,2,8,7,50,2,661.0,19,4480,0,0.47368421052631576,0.42105263157894735
2,3,28332.0,2014-04-30,58,1,2,1,4,2,73,0,65.0,7,4090,0,0.2857142857142857,0.5714285714285714
2,2,40246.0,2012-12-19,68,1,1,0,2,6,48,1,13.0,3,4587,0,0.3333333333333333,0.6666666666666666
3,3,75251.0,2012-08-27,34,1,7,6,5,5,53,0,1491.0,18,4701,0,0.3888888888888889,0.2777777777777778
2,4,75825.0,2012-10-12,40,0,5,8,9,4,49,0,1921.5,22,4655,0,0.22727272727272727,0.4090909090909091
0,5,26326.0,2013-09-04,12,1,0,0,3,3,49,0,18.0,3,4328,0,0.0,1.0
2,5,56046.0,2013-01-02,9,2,10,1,8,8,60,0,692.0,19,4573,0,0.5263157894736842,0.42105263157894735
2,4,29760.0,2012-08-29,87,4,3,1,4,8,40,1,165.0,8,4699,0,0.375,0.5
2,3,26304.0,2013-06-23,5,1,1,0,2,7,56,1,16.0,3,4401,0,0.3333333333333333,0.6666666666666666
0,3,23559.0,2013-07-03,87,3,3,0,3,7,52,1,79.0,6,4391,0,0.5,0.5
3,5,38620.0,2013-05-11,56,1,2,5,3,3,62,0,318.0,10,4444,0,0.2,0.3
2,2,81361.0,2014-02-25,18,1,3,10,13,1,38,0,778.0,26,4154,0,0.11538461538461539,0.5
2,3,29440.0,2013-08-11,95,2,1,0,4,7,65,2,56.0,5,4352,0,0.2,0.8
3,3,36138.0,2013-07-16,48,5,3,1,4,7,55,2,151.0,8,4378,0,0.375,0.5
2,4,50388.0,2014-05-28,3,4,6,1,6,7,68,1,372.0,13,4062,0,0.46153846153846156,0.46153846153846156
2,3,79593.0,2014-05-12,70,1,5,6,7,2,52,0,1283.5,18,4078,0,0.2777777777777778,0.3888888888888889
2,5,54178.0,2014-01-21,79,1,2,2,5,2,58,1,194.0,9,4189,0,0.2222222222222222,0.5555555555555556
4,3,51381.5,2012-11-19,4,6,7,2,8,9,68,3,603.0,17,4617,0,0.4117647058823529,0.47058823529411764
2,4,51381.5,2014-05-27,45,1,1,0,2,7,68,2,18.0,3,4063,0,0.3333333333333333,0.6666666666666666
3,5,51381.5,2013-11-23,87,1,2,4,8,1,52,0,985.0,14,4248,0,0.14285714285714285,0.5714285714285714
3,4,42394.0,2014-03-23,69,1,1,0,3,7,53,1,32.0,4,4128,0,0.25,0.75
4,3,23626.0,2014-05-24,84,3,3,1,3,5,55,1,43.0,7,4066,0,0.42857142857142855,0.42857142857142855
2,3,30096.0,2014-05-22,30,1,2,0,3,6,42,1,45.0,5,4068,0,0.4,0.6
2,6,47916.0,2012-11-22,72,5,7,4,6,6,65,1,606.0,17,4614,0,0.4117647058823529,0.35294117647058826
2,2,51813.0,2013-04-11,37,2,2,0,3,7,53,2,63.0,5,4474,0,0.4,0.6
0,3,78497.0,2013-12-01,44,1,5,7,12,2,74,0,881.5,24,4240,0,0.20833333333333334,0.5
4,3,50150.0,2013-06-20,32,2,5,2,7,5,42,0,410.0,14,4404,0,0.35714285714285715,0.5
0,4,47823.0,2013-07-23,0,2,2,0,3,8,65,1,72.0,5,4371,0,0.4,0.6
4,4,34554.0,2014-03-30,43,2,2,0,3,6,66,1,55.0,5,4121,0,0.4,0.6
2,5,85693.0,2013-04-20,59,2,9,5,11,5,46,1,962.5,25,4465,0,0.36,0.44
4,3,65846.0,2013-05-17,68,1,6,3,6,4,80,0,1120.0,15,4438,0,0.4,0.4
2,3,87195.0,2014-05-08,35,1,3,10,5,1,66,0,963.0,18,4082,0,0.16666666666666666,0.2777777777777778
1,5,24594.0,2013-12-10,94,1,1,0,3,5,46,1,29.0,4,4231,0,0.25,0.75
2,3,49096.0,2013-09-24,15,4,4,1,4,7,61,2,187.0,9,4308,0,0.4444444444444444,0.4444444444444444
2,3,52413.0,2013-02-02,56,4,6,4,12,6,56,2,868.0,22,4542,0,0.2727272727272727,0.5454545454545454
2,4,38557.0,2012-12-19,17,2,3,1,3,7,47,1,145.0,7,4587,0,0.42857142857142855,0.42857142857142855
3,3,89058.0,2012-12-07,18,1,5,4,4,2,65,0,737.0,13,4599,0,0.38461538461538464,0.3076923076923077
2,5,77298.0,2013-11-02,46,1,6,6,11,3,46,1,935.0,23,4269,0,0.2608695652173913,0.4782608695652174
4,4,68126.0,2012-11-10,40,1,7,4,5,9,34,0,1713.0,16,4626,0,0.4375,0.3125
3,5,57288.0,2014-06-25,27,3,8,1,8,6,62,1,608.0,17,4034,0,0.47058823529411764,0.47058823529411764
2,4,86037.0,2013-01-02,95,1,6,7,11,3,34,0,730.0,24,4573,0,0.25,0.4583333333333333
4,3,43974.0,2012-12-12,19,5,6,4,6,7,45,1,551.0,16,4594,0,0.375,0.375
2,4,50785.0,2013-09-10,27,2,2,1,3,6,63,2,114.0,6,4322,0,0.3333333333333333,0.5
2,3,90765.0,2014-01-24,25,0,4,6,5,1,55,0,1418.5,15,4186,0,0.26666666666666666,0.3333333333333333
0,3,36550.0,2013-02-19,74,5,9,1,5,9,47,1,543.5,15,4525,0,0.6,0.3333333333333333
0,5,30753.0,2013-07-11,85,2,1,1,3,5,58,2,81.0,5,4383,0,0.2,0.6
2,5,21918.0,2013-11-14,37,2,2,0,3,6,56,1,33.0,5,4257,0,0.4,0.6
3,5,56129.0,2013-06-20,65,4,6,2,10,4,72,1,660.0,18,4404,0,0.3333333333333333,0.5555555555555556
3,4,32557.0,2014-02-24,13,3,2,1,3,5,58,1,80.0,6,4155,0,0.3333333333333333,0.5
3,3,19510.0,2013-09-04,63,2,1,0,3,7,40,2,30.0,4,4328,0,0.25,0.75
2,2,30992.0,2013-04-22,83,1,1,0,3,7,49,1,43.0,4,4463,0,0.25,0.75
2,4,101970.0,2013-03-12,69,0,6,8,13,2,42,0,1093.5,27,4504,0,0.2222222222222222,0.48148148148148145
0,5,71488.0,2013-02-18,87,2,3,4,7,1,60,0,513.5,14,4526,0,0.21428571428571427,0.5
2,4,79607.0,2013-04-21,37,1,3,6,6,1,41,0,1334.0,15,4464,0,0.2,0.4
3,3,54348.0,2014-06-08,51,2,2,0,4,6,72,2,90.0,6,4051,0,0.3333333333333333,0.6666666666666666
4,3,51381.5,2013-07-11,23,3,6,1,7,6,64,1,404.0,14,4383,0,0.42857142857142855,0.5
4,5,77376.0,2014-05-10,72,4,6,3,10,4,69,2,661.0,19,4080,0,0.3157894736842105,0.5263157894736842
2,3,62998.0,2013-09-30,10,5,5,4,5,5,73,1,455.0,14,4302,0,0.35714285714285715,0.35714285714285715
3,1,61331.0,2013-03-10,42,5,11,1,6,8,67,2,632.0,18,4506,0,0.6111111111111112,0.3333333333333333
2,3,73448.0,2014-02-10,10,1,7,2,9,4,56,0,696.5,18,4169,0,0.3888888888888889,0.5
2,3,51381.5,2013-08-11,96,1,6,5,7,4,62,1,725.0,18,4352,0,0.3333333333333333,0.3888888888888889
4,3,41551.0,2013-08-14,51,5,5,1,5,8,61,2,279.0,11,4349,0,0.45454545454545453,0.45454545454545453
4,5,62981.0,2013-03-17,21,1,4,5,13,3,58,0,1448.0,22,4499,0,0.18181818181818182,0.5909090909090909
1,2,9548.0,2012-08-08,31,2,1,0,3,8,49,1,29.0,4,4720,0,0.25,0.75
4,3,33762.0,2013-07-07,61,3,2,2,2,8,66,3,106.0,6,4387,0,0.3333333333333333,0.3333333333333333
4,1,35860.0,2014-05-19,37,2,1,1,2,5,52,2,49.0,4,4071,0,0.25,0.5
4,2,36921.0,2013-07-28,74,2,2,0,3,7,60,2,38.0,5,4366,0,0.4,0.6
3,4,92859.0,2012-10-19,46,1,5,4,12,2,33,0,1712.0,21,4648,0,0.23809523809523808,0.5714285714285714
3,5,65104.0,2013-11-14,4,2,3,5,7,7,49,1,1053.0,15,4257,0,0.2,0.4666666666666667
2,3,86111.0,2013-04-19,73,1,5,7,10,2,63,0,1185.0,22,4466,0,0.22727272727272727,0.45454545454545453
4,4,68352.0,2013-08-28,47,3,8,5,9,6,51,1,871.0,22,4335,0,0.36363636363636365,0.4090909090909091
2,5,41883.0,2013-03-19,13,3,4,2,3,7,37,1,312.0,9,4497,0,0.4444444444444444,0.3333333333333333
2,3,59809.0,2012-10-18,36,3,3,3,6,8,49,2,877.0,12,4649,0,0.25,0.5
2,3,23957.0,2012-10-28,47,1,2,0,3,6,50,1,68.0,5,4639,0,0.4,0.6
2,5,38547.0,2013-08-28,49,1,1,0,2,8,44,1,22.0,3,4335,0,0.3333333333333333,0.6666666666666666
0,3,35688.0,2012-08-22,94,6,4,1,4,8,52,3,211.0,9,4706,0,0.4444444444444444,0.4444444444444444
3,3,49605.0,2014-06-21,65,1,2,1,4,3,59,0,127.0,7,4038,0,0.2857142857142857,0.5714285714285714
3,3,59354.0,2014-04-24,59,1,4,4,7,3,72,2,459.0,15,4096,0,0.26666666666666666,0.4666666666666667
2,3,65747.0,2014-03-07,96,4,8,1,6,6,56,1,460.0,15,4144,0,0.5333333333333333,0.4
0,5,46344.0,2012-12-14,28,4,7,1,5,7,53,1,429.0,13,4592,0,0.5384615384615384,0.38461538461538464
2,1,34176.0,2014-05-12,12,4,3,0,4,6,37,1,89.0,7,4078,0,0.42857142857142855,0.5714285714285714
4,5,61010.0,2012-10-09,57,2,8,5,11,5,73,1,1021.0,24,4658,0,0.3333333333333333,0.4583333333333333
2,5,69372.0,2013-02-19,10,1,10,4,6,4,76,0,1381.0,20,4525,0,0.5,0.3
2,4,49967.0,2013-07-08,4,3,6,1,5,7,67,1,306.0,12,4386,0,0.5,0.4166666666666667
2,4,60199.0,2013-09-12,49,1,0,0,3,4,47,3,18.0,3,4320,0,0.0,1.0
2,5,55375.0,2013-10-17,3,1,1,1,6,2,48,1,162.0,8,4285,0,0.125,0.75
2,4,80317.0,2013-08-20,64,1,3,4,10,1,70,0,1192.5,17,4343,0,0.17647058823529413,0.5882352941176471
3,4,30523.0,2013-07-01,0,1,1,0,2,7,67,3,13.0,3,4393,0,0.3333333333333333,0.6666666666666666
4,3,70356.0,2012-11-05,20,2,10,6,9,6,80,0,1582.0,25,4631,0,0.4,0.36
2,3,23228.0,2014-01-05,91,4,3,0,4,8,41,1,121.0,7,4205,0,0.42857142857142855,0.5714285714285714
4,2,74165.0,2013-05-01,9,1,5,4,10,2,50,0,1293.0,19,4454,0,0.2631578947368421,0.5263157894736842
4,3,117416.25,2014-03-01,98,6,0,10,0,0,52,1,582.0,10,4150,0,0.0,0.0
2,5,43482.0,2013-11-13,83,3,2,0,4,6,59,3,88.0,6,4258,0,0.3333333333333333,0.6666666666666666
2,2,62551.0,2013-11-18,27,1,6,7,4,3,72,0,407.5,17,4253,0,0.35294117647058826,0.23529411764705882
2,2,52332.0,2013-08-28,63,1,3,2,6,4,66,0,259.0,11,4335,0,0.2727272727272727,0.5454545454545454
2,4,66951.0,2013-11-02,46,1,3,4,7,1,37,0,983.5,14,4269,0,0.21428571428571427,0.5
2,5,26091.0,2014-02-25,84,3,2,1,3,5,68,2,89.0,6,4154,0,0.3333333333333333,0.5
2,5,33456.0,2014-04-21,58,2,1,0,3,7,60,2,36.0,4,4099,0,0.25,0.75
2,3,28718.0,2013-07-13,78,2,2,0,3,8,43,1,57.0,5,4381,0,0.4,0.6
2,3,50447.0,2014-04-21,4,1,3,1,3,6,55,2,148.0,7,4099,0,0.42857142857142855,0.42857142857142855
4,5,53537.0,2014-01-30,17,2,2,1,3,5,66,2,93.0,6,4180,0,0.3333333333333333,0.5
2,4,52074.0,2014-04-04,77,1,2,2,2,4,58,1,119.0,6,4116,0,0.3333333333333333,0.3333333333333333
4,3,80427.0,2012-09-12,56,1,11,8,8,5,50,1,1835.0,27,4685,0,0.4074074074074074,0.2962962962962963
4,3,83837.0,2012-12-16,79,1,9,10,5,4,77,0,1310.0,24,4590,0,0.375,0.20833333333333334
4,3,38853.0,2014-05-23,90,2,2,0,3,7,55,2,45.0,5,4067,0,0.4,0.6
2,5,38285.0,2014-06-24,96,1,0,0,3,2,66,3,10.0,3,4035,0,0.0,1.0
0,3,78497.0,2013-12-01,44,1,5,7,12,2,74,0,881.5,24,4240,0,0.20833333333333334,0.5
4,3,51650.0,2014-05-11,81,1,4,1,4,5,49,1,191.0,9,4079,0,0.4444444444444444,0.4444444444444444
0,3,16248.0,2014-05-10,77,3,2,1,3,6,37,1,57.0,6,4080,0,0.3333333333333333,0.5
3,3,66835.0,2013-09-28,21,1,6,4,13,2,79,0,1018.5,23,4304,0,0.2608695652173913,0.5652173913043478
3,3,30477.0,2014-01-22,16,1,1,1,3,6,41,1,66.0,5,4188,0,0.2,0.6
1,3,28249.0,2014-06-15,80,1,2,0,3,6,64,0,43.0,5,4044,0,0.4,0.6
2,3,25271.0,2012-12-05,45,1,1,1,2,9,42,1,50.0,4,4601,0,0.25,0.5
4,4,32303.0,2014-03-08,63,2,1,0,4,5,55,1,39.0,5,4143,0,0.2,0.8
2,3,61286.0,2013-08-02,34,2,7,1,8,5,59,1,608.0,16,4361,0,0.4375,0.5
2,3,74068.0,2013-03-19,14,1,4,10,9,2,49,0,1561.5,23,4497,0,0.17391304347826086,0.391304347826087
4,3,45759.0,2013-02-23,13,2,2,0,3,7,61,2,68.0,5,4521,0,0.4,0.6
1,5,24882.0,2012-09-09,52,1,1,1,2,6,47,1,80.0,4,4688,0,0.25,0.5
4,5,66973.0,2013-05-17,98,1,8,7,12,3,36,0,1223.5,27,4438,0,0.2962962962962963,0.4444444444444444
0,2,36640.0,2013-09-26,99,1,2,1,2,5,93,1,65.0,5,4306,0,0.4,0.4
2,3,38872.0,2013-05-30,93,2,3,0,3,8,37,1,91.0,6,4425,0,0.5,0.5
2,3,51148.0,2013-02-18,38,4,5,1,6,6,52,2,315.0,12,4526,0,0.4166666666666667,0.5
2,3,31353.0,2013-12-29,24,2,1,1,2,8,48,2,31.0,4,4212,0,0.25,0.5
3,3,69661.0,2014-05-13,80,1,7,3,12,3,45,0,834.0,22,4077,0,0.3181818181818182,0.5454545454545454
2,3,80067.0,2013-09-19,82,1,4,6,6,2,71,0,1251.0,16,4313,0,0.25,0.375
2,3,86718.0,2013-01-17,20,1,5,6,5,2,71,0,1116.5,16,4558,0,0.3125,0.3125
4,4,46854.0,2014-03-31,81,6,5,1,3,8,52,2,263.0,9,4120,0,0.5555555555555556,0.3333333333333333
2,2,69142.0,2014-06-29,50,3,8,1,7,5,73,1,535.0,16,4030,0,0.5,0.4375
2,4,75922.0,2013-12-09,60,1,4,4,9,1,57,0,1134.5,17,4232,0,0.23529411764705882,0.5294117647058824
2,2,63693.0,2013-10-14,63,3,11,6,9,6,47,1,1144.0,26,4288,0,0.4230769230769231,0.34615384615384615
4,5,102160.0,2012-11-02,54,0,7,9,10,4,48,0,1145.0,26,4634,0,0.2692307692307692,0.38461538461538464
4,4,40637.0,2013-07-17,72,2,1,0,3,7,60,2,38.0,4,4377,0,0.25,0.75
3,4,18890.0,2012-11-10,5,1,0,1,2,6,41,0,35.0,3,4626,0,0.0,0.6666666666666666
2,5,29604.0,2013-12-08,88,1,1,0,3,9,37,1,53.0,4,4233,0,0.25,0.75
3,2,48721.0,2013-05-13,50,6,4,2,5,6,62,2,293.0,11,4442,0,0.36363636363636365,0.45454545454545453
2,3,44794.0,2014-06-08,99,1,2,0,3,6,59,1,65.0,5,4051,0,0.4,0.6
2,2,64497.0,2012-09-10,17,5,11,4,9,8,71,1,1738.5,24,4687,0,0.4583333333333333,0.375
2,5,46097.0,2013-03-31,11,5,3,1,6,4,69,1,241.0,10,4485,0,0.3,0.6
2,5,77972.0,2014-03-18,18,1,4,6,9,1,71,0,1080.0,19,4133,0,0.21052631578947367,0.47368421052631576
4,3,44377.0,2012-10-05,70,6,5,1,5,8,57,2,264.0,11,4662,0,0.45454545454545453,0.45454545454545453
3,5,46014.0,2013-01-21,21,6,7,1,8,7,51,2,541.0,16,4554,0,0.4375,0.5
2,3,70951.0,2013-05-04,66,1,3,4,9,1,40,0,1058.5,16,4451,0,0.1875,0.5625
2,3,41443.0,2014-04-01,79,6,8,1,5,8,48,1,482.0,14,4119,0,0.5714285714285714,0.35714285714285715
0,4,52195.0,2014-05-12,2,1,1,0,2,8,47,3,17.0,3,4078,0,0.3333333333333333,0.6666666666666666
3,3,83790.0,2013-11-15,81,1,8,10,6,3,77,0,1615.0,24,4256,0,0.3333333333333333,0.25
3,6,44551.0,2013-08-31,24,2,4,1,5,7,71,1,285.0,10,4332,0,0.4,0.5
2,5,69508.0,2012-11-14,48,2,11,4,11,6,45,1,1135.0,26,4622,0,0.4230769230769231,0.4230769230769231
0,5,45204.0,2014-04-11,93,1,1,1,4,3,37,1,114.0,6,4109,0,0.16666666666666666,0.6666666666666666
2,3,72460.0,2013-11-14,56,1,3,5,7,1,56,0,1047.0,15,4257,0,0.2,0.4666666666666667
4,5,77622.0,2014-04-14,3,2,6,3,11,3,55,2,714.0,20,4106,0,0.3,0.55
4,3,30732.0,2013-01-05,44,4,4,1,4,8,45,1,185.0,9,4570,0,0.4444444444444444,0.4444444444444444
2,2,63887.0,2012-09-08,38,5,9,6,12,6,63,1,1245.0,27,4689,0,0.3333333333333333,0.4444444444444444
2,5,42011.0,2013-03-26,46,4,3,1,4,8,47,1,189.0,8,4490,0,0.375,0.5
2,5,51369.0,2012-10-25,84,2,8,2,4,8,49,1,520.5,14,4642,0,0.5714285714285714,0.2857142857142857
2,2,51537.0,2012-12-09,27,3,2,2,11,8,73,1,1103.0,15,4597,0,0.13333333333333333,0.7333333333333333
4,3,79930.0,2012-08-08,72,1,3,5,8,2,53,0,1564.0,16,4720,0,0.1875,0.5
4,5,34320.0,2014-02-16,66,1,1,0,2,8,39,1,17.0,3,4163,0,0.3333333333333333,0.6666666666666666
2,4,37070.0,2013-03-20,30,6,5,1,8,7,59,2,433.0,14,4496,0,0.35714285714285715,0.5714285714285714
0,2,81975.0,2013-01-05,2,1,6,3,4,7,63,1,1471.5,13,4570,0,0.46153846153846156,0.3076923076923077
2,5,38590.0,2013-05-15,65,1,1,0,2,8,54,1,22.0,3,4440,0,0.3333333333333333,0.6666666666666666
2,4,15033.0,2014-04-16,37,1,1,0,3,3,74,0,19.0,4,4104,0,0.25,0.75
4,3,62745.0,2013-03-23,89,3,7,8,11,5,60,1,1117.0,26,4493,0,0.2692307692307692,0.4230769230769231
0,3,22212.0,2013-12-09,49,2,2,0,4,6,50,1,69.0,6,4232,0,0.3333333333333333,0.6666666666666666
3,5,23661.0,2013-12-04,46,1,1,0,3,7,43,1,23.0,4,4237,0,0.25,0.75
4,4,79761.0,2013-10-04,32,1,5,2,11,3,67,1,605.0,18,4298,0,0.2777777777777778,0.6111111111111112
2,4,7500.0,2013-12-26,54,4,3,1,3,7,52,1,57.0,7,4215,0,0.42857142857142855,0.42857142857142855
0,4,60182.0,2014-05-17,23,1,1,0,2,4,93,1,22.0,3,4073,0,0.3333333333333333,0.6666666666666666
2,6,73455.0,2013-10-28,98,1,6,5,10,3,57,0,1739.5,21,4274,0,0.2857142857142857,0.47619047619047616
2,5,64961.0,2012-12-23,97,2,6,4,4,3,67,1,933.0,14,4583,0,0.42857142857142855,0.2857142857142857
